YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION
2018,7,14,0.2,32.6,23.3,79,1,250
2018,7,15,-1,32.5,24,74,2,220
2018,7,16,9,31.8,23.7,79,2,220
2018,7,17,11.2,30.8,23,82,2,220
2018,7,18,0,32.8,25,76,2,270
2018,7,19,3.3,33.5,24,78,2,220
2018,7,20,0,32.7,25,76,2,220
2018,7,21,0,32.8,24.8,76,3,200
2018,7,22,0.2,31.8,24,77,3,220
2018,7,23,0,29.3,24,78,2,250
2018,7,24,-1,30.4,24,80,1,250
2018,7,25,5,32.2,24.5,77,2,220
2018,7,26,-1,32,24.5,75,2,220
2018,7,27,5,31,24.5,77,2,220
2018,7,28,0,33.4,25,70,2,220
2018,7,29,0.6,31.8,25,73,2,220
2018,7,30,0,33.6,25.5,71,2,220
2018,7,31,14.2,29.6,24.5,84,2,220
2018,8,1,-1,32.6,24,75,2,250
2018,8,2,1.3,32,24,78,2,200
2018,8,3,2.4,31.6,23,80,2,220
2018,8,4,14.8,31.8,23.2,79,2,200
2018,8,5,0,32,24,80,1,250
2018,8,6,3.1,30.8,23.9,80,2,200
2018,8,7,24.8,31.6,23,80,2,220
2018,8,8,1,30.8,23.5,78,2,200
2018,8,9,0,31,25.2,78,2,220
2018,8,10,-1,30.6,24.5,79,2,220
2018,8,11,-1,31.8,25.5,67,3,250
2018,8,12,2.8,31.2,25.5,67,3,220
2018,8,13,0.6,32.8,25,69,2,220
2018,8,14,0,32.8,25.5,68,2,200
2018,8,15,0,34,25.5,68,2,250
2018,8,16,0,33.4,25.5,70,2,220
2018,8,17,0,32.6,25,74,2,220
2018,8,18,0.6,33,24.1,75,2,220
2018,8,19,1.5,32.4,24.5,77,2,220
2018,8,20,0,33.7,24.6,71,2,220
2018,8,21,0,34,25,73,3,200
2018,8,22,0,33.5,24.7,76,2,220
2018,8,23,0,34,25,72,2,220
2018,8,24,0,34,25.5,68,2,220
2018,8,25,0,32.6,25,73,2,220
2018,8,26,0,32,24,77,1,180
2018,8,27,0,32.8,23.5,75,1,200
2018,8,28,4,32,23.2,77,1,90
2018,8,29,-1,32.6,23.4,79,1,90
2018,8,30,0.4,32.7,24.5,78,1,290
2018,8,31,12.4,27.9,23,90,1,290
2018,9,1,0,30.6,23.3,81,1,40
2018,9,2,-1,30.8,24.2,79,1,200
